file_name,risk
road_0179,0.016151985
road_0180,0.039322015
road_0181,0.08489087
road_0182,0.00029458952
road_0183,0.036873322
road_0184,0.0062549263
road_0185,0.11219218
road_0186,0.081550196
road_0187,0.42818534
road_0188,0.004769534
road_0189,0.9195977
road_0190,0.0068699135
road_0191,0.042186007
road_0192,0.17712969
road_0193,4.3099575e-05
road_0194,0.0015349414
road_0195,0.22149397
road_0196,0.42000288
road_0197,0.0027917526
road_0198,0.007227828
road_0199,0.012984191
road_0200,0.02454614
road_0201,0.00016759473
road_0202,0.010574809
road_0203,0.5818814
road_0204,0.11453976
road_0205,0.0058174664
road_0206,0.039782863
road_0207,0.21033877
road_0208,6.837734e-05
road_0209,0.05202343
road_0210,0.3489651
road_0211,0.019259633
road_0212,0.00020514026
road_0213,0.116859496
road_0214,0.43612027
road_0215,0.4141842
road_0216,0.0013360941
road_0217,0.020141259
road_0218,0.011822475
road_0219,0.7151658
road_0220,0.025152283
road_0221,0.04435413
road_0222,0.6129369
road_0223,0.04785382
road_0224,5.2404564e-05
road_0225,2.6817575e-05
road_0226,0.024159212
road_0227,0.0029905122
road_0228,0.17392279
road_0229,0.016454209
road_0230,0.24394365
road_0231,0.035334017
road_0232,0.22111602
road_0233,0.0015250621
road_0234,0.007840777
road_0235,0.02136407
road_0236,0.007361482
road_0237,0.052050244
road_0238,0.008095089
road_0239,0.013716449
road_0240,0.0013794854
road_0241,0.20089829
road_0242,0.00010382638
road_0243,0.0045766355
road_0244,0.0637849
road_0245,0.5097247
road_0246,0.030862413
road_0247,0.47733146
road_0248,0.025303422
road_0249,0.18842846
road_0250,0.27956098
road_0251,0.70623535
road_0252,0.8336127
road_0253,0.0015661691
road_0254,0.01315816
road_0255,0.14358811
road_0256,0.0040029334
road_0257,0.34646964
road_0258,0.00042141354
road_0259,0.18415901
road_0260,0.020432606
road_0261,0.0051355944
road_0262,0.013239065
road_0263,0.021156255
road_0264,0.0036756024
road_0265,0.25008357
road_0266,0.08396452
road_0267,0.040430635
road_0268,0.0005894748
road_0269,0.0008019827
road_0270,0.36806786
road_0271,0.0049796794
road_0272,0.005677335
road_0273,0.00046512592
road_0274,0.18008713
road_0275,0.09067842
road_0276,0.051019963
road_0277,0.79114884
road_0278,0.0905201
road_0279,0.006160713
road_0280,0.012424393
road_0281,0.059226546
road_0282,0.0028378007
road_0283,0.1985726
road_0284,0.11654487
road_0285,9.244472e-06
road_0286,0.0020614464
road_0287,0.02381943
road_0288,0.045371436
road_0289,0.005312568
road_0290,0.004737943
road_0291,0.100510605
road_0292,0.0018776392
road_0293,0.82468164
road_0294,0.028922074
road_0295,0.23818703
road_0296,0.47011733
road_0297,0.00037401213
road_0298,0.0042949957
road_0299,0.09548032
freeway_0180,0.4084472
freeway_0181,0.96199393
freeway_0182,0.2145831
freeway_0183,0.08345481
freeway_0184,0.08862183
freeway_0185,0.027622696
freeway_0186,0.14560829
freeway_0187,0.046263155
freeway_0188,0.042011984
freeway_0189,0.08744947
freeway_0190,0.11239747
freeway_0191,0.5945989
freeway_0192,0.01042765
freeway_0193,0.07147656
freeway_0194,0.48962158
freeway_0195,0.009745298
freeway_0196,0.10521833
freeway_0197,0.33390093
freeway_0198,0.8353924
freeway_0199,0.0857625
freeway_0200,0.8612288
freeway_0201,0.07734815
freeway_0202,0.008968028
freeway_0203,0.06514874
freeway_0204,0.2238252
freeway_0205,0.45291916
freeway_0206,0.0015145745
freeway_0207,2.946102e-05
freeway_0208,0.6815421
